var_orig,label_orig,type_orig,n_distinct,n_missing,taux_na,module,var_new,label_new,type_new,keep,notes
Commune,Choisir la commune,object,50,5,0.002,I,commune,Commune (code),factor,yes,
quartier,1.3 Quartier de l'enquête,str,1180,0,0.0,I,quartier,Quartier de residence,character,yes,
I_2,I.2 Sexe du repondant,int64,2,0,0.0,I,sexe_repondant,Sexe du repondant,factor,yes,
I_3,I.3 Quel est l'âge du répondant ? (en années),int64,76,0,0.0,I,age_repondant,Age du repondant (annees),numeric,yes,
I_4,I.4 Statut du répondant dans le ménage,str,11,0,0.0,I,statut_repondant_menage,Statut du repondant dans le menage,factor,yes,
I_4_other,Specify other.,str,15,0,0.0,I,statut_repondant_other,Autre statut repondant (texte libre),character,no,
I_5_1,I.5.1. Quel est le nombre d'enfants de moins de 5 ans ?,int64,16,0,0.0,I,nb_enf_moins5,Nb enfants <5 ans,numeric,yes,
I_5_2,I.5.2. Quel est le nombre d'enfants âgés entre 5 et 15 ans ?,int64,18,0,0.0,I,nb_enf_5_15,Nb enfants 5-15 ans,numeric,yes,
I_5_3,I.5.3. Quel est le nombre d'hommes de 15 ans et plus ?,int64,19,0,0.0,I,nb_hom_15plus,Nb hommes >=15 ans,numeric,yes,
I_5_4,I.5.4. Quel est le nombre de femmes de 15 ans et plus ?,int64,20,0,0.0,I,nb_fem_15plus,Nb femmes >=15 ans,numeric,yes,
I_5,I_5,str,48,0,0.0,I,taille_menage_raw,Taille du menage (brut),numeric,no,
I_6,I.6 Quel est le statut d'occupation ?,int64,3,0,0.0,I,statut_occupation,Statut d occupation du logement,factor,yes,
I_7,I.7 Quel est le type de logement ?,str,5,0,0.0,I,type_logement,Type de logement,factor,yes,
I_7_other,Specify other.,str,3,0,0.0,I,type_logement_other,Autre type logement (texte),character,no,
I_8,I.8 Quel est le sexe du chef de ménage ?,int64,2,0,0.0,I,sexe_cm,Sexe du chef de menage,factor,yes,
I_9,I.9 Quel est l'âge du Chef de ménage ?,int64,79,0,0.0,I,age_cm,Age du chef de menage (annees),numeric,yes,
